rank,name,cid,rdkit_MW,pc_MW,d_MW,rdkit_LogP,pc_XLogP,d_LogP,rdkit_TPSA,pc_TPSA,d_TPSA,rdkit_HBD,pc_HBD,rdkit_HBA,pc_HBA,rdkit_RotB,pc_RotB,flag,severity,interpretation
35,T31964,115245,433.63,433.6,0.03,4.62,5.6,-0.98,86.63,86.6,0.03,3,3,3,4,6,6,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
36,T5352,18602029,449.63,449.6,0.03,3.59,4.3,-0.71,106.86,107,-0.14,4,4,4,5,6,6,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
37,T0408,6674,402.53,402.5,0.03,4.07,2.6,1.47,88.51,88.5,0.01,1,1,4,5,4,4,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
38,T2963,221493,408.58,408.6,-0.02,3.45,3.6,-0.15,97.99,98,-0.01,4,4,4,5,4,4,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
39,T15271,66548316,439.56,439.6,-0.04,5.25,5.3,-0.05,85.67,85.7,-0.03,1,1,4,4,4,4,,OK,RDKit 与 PubChem 完全一致
40,T10087,192254,378.55,378.5,0.05,4.09,4.6,-0.51,77.76,77.8,-0.04,3,3,3,4,3,3,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
41,T11428,121322333,477.69,477.7,-0.01,4.23,5.1,-0.87,106.86,107,-0.14,4,4,4,5,7,7,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
42,TN7583,94235,406.56,406.6,-0.04,3.66,3.3,0.36,94.83,94.8,0.03,3,3,4,5,4,4,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
43,TN7120,188292,406.56,406.6,-0.04,3.66,3.3,0.36,94.83,94.8,0.03,3,3,4,5,4,4,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
44,T5313,9862248,328.41,328.4,0.01,4.19,4.9,-0.71,66.76,66.8,-0.04,2,2,3,4,6,6,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
45,T13502,5283906,374.57,374.6,-0.03,5.72,5.8,-0.08,54.37,54.4,-0.03,1,1,2,3,4,4,HBA:2vs3,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
46,TMIH-0182,71309027,396.6,396.6,0.00,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
47,T11954,15941848,364.38,364.4,-0.02,4.24,3.6,0.64,86.99,87,-0.01,3,3,3,5,6,6,HBA:3vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
48,T11662L,45483949,450.66,450.7,-0.04,4.33,4.9,-0.57,97.99,98,-0.01,4,4,4,5,5,5,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
49,T4588,12544,449.63,449.6,0.03,3.59,4.3,-0.71,106.86,107,-0.14,4,4,4,5,6,6,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
50,T36585,164672,392.58,392.6,-0.02,4.48,5.3,-0.82,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
51,T65070,9548590,391.57,391.6,-0.03,3.14,5.6,-2.46,80.59,80.6,-0.01,2,2,4,4,4,3,LogP差2.5;RotB:4vs3,LogP算法差,"RDKit MolLogP 与 PubChem XLogP3 为不同算法, 差异属正常"
52,T35792,164853,376.58,376.6,-0.02,5.51,6.3,-0.79,57.53,57.5,0.03,2,2,2,3,4,4,HBA:2vs3,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
53,T36522,94228,376.58,376.6,-0.02,5.51,6.3,-0.79,57.53,57.5,0.03,2,2,2,3,4,4,HBA:2vs3,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
54,T78495,193905,378.55,378.5,0.05,4.09,4.6,-0.51,77.76,77.8,-0.04,3,3,3,4,3,3,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
55,T2831,10140,465.63,465.6,0.03,2.56,2.9,-0.34,127.09,127,0.09,5,5,5,6,6,6,HBA:5vs6,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
56,T13092,122201312,527.77,527.8,-0.03,4.03,4.3,-0.27,123.93,132,-8.07,4,4,5,6,8,8,TPSA差8.1;HBA:5vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
57,T207843,128752,472.64,472.6,0.04,4.31,4.5,-0.19,121.13,130,-8.87,3,3,5,7,6,6,TPSA差8.9;HBA:5vs7,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
58,T19124,5283956,406.56,406.6,-0.04,3.66,3.2,0.46,94.83,94.8,0.03,3,3,4,5,4,4,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
59,T0516,11869222,401.52,401.5,0.02,2.74,3.2,-0.46,91.34,91.3,0.04,0,0,5,5,4,3,RotB:4vs3,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
60,T4537,5460314,407.57,407.6,-0.03,2.11,4.2,-2.09,100.82,101,-0.18,3,3,5,5,4,3,LogP差2.1;RotB:4vs3,LogP算法差,"RDKit MolLogP 与 PubChem XLogP3 为不同算法, 差异属正常"
61,T37177,158738,394.55,394.5,0.05,3.06,3.2,-0.14,97.99,98,-0.01,4,4,4,5,3,3,HBA:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
62,T7628,571977,374.57,374.6,-0.03,5.43,5.4,0.03,57.53,57.5,0.03,2,2,2,3,4,4,HBA:2vs3,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
63,T207106,164960,390.56,390.6,-0.04,4.69,4.6,0.09,74.6,74.6,0.00,2,2,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
64,TMIH-0590,76973080,396.6,396.6,0.00,4.48,4.9,-0.42,77.76,77.8,-0.04,3,3,3,4,4,4,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
65,T13919,41907,344.41,344.4,0.01,3.5,4.1,-0.60,75.99,76,-0.01,2,2,4,5,7,8,HBA:4vs5;RotB:7vs8,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
66,T17181,129101638,468.48,468.5,-0.02,4.97,3.8,1.17,82.01,82,0.01,1,1,4,7,5,5,HBA:4vs7,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
67,T64334,25201677,432.63,432.6,0.03,3.29,6.3,-3.01,89.46,89.5,-0.04,2,2,4,4,6,5,LogP差3.0;RotB:6vs5,LogP算法差,"RDKit MolLogP 与 PubChem XLogP3 为不同算法, 差异属正常"
68,T11557,72947731,384.48,384.5,-0.02,4.42,4.1,0.32,72.78,72.8,-0.02,1,1,3,3,3,3,,OK,RDKit 与 PubChem 完全一致
69,T17180,72947731,384.48,384.5,-0.02,4.42,4.1,0.32,72.78,72.8,-0.02,1,1,3,3,3,3,,OK,RDKit 与 PubChem 完全一致
70,T34788,439763,483.72,483.7,0.02,4.43,4.9,-0.47,103.7,112,-8.30,3,3,4,5,7,7,TPSA差8.3;HBA:4vs5,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
71,T2744,10960835,422.61,422.6,0.01,3.54,3.9,-0.36,86.99,87,-0.01,3,3,5,5,4,5,RotB:4vs5,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
72,T8754,130433756,391.45,391.4,0.05,2.79,2.6,0.19,107.19,130,-22.81,1,1,7,7,3,5,TPSA差22.8;RotB:3vs5,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
73,T8752,101886306,406.65,406.6,0.05,5.02,5.9,-0.88,60.69,60.7,-0.01,3,3,3,3,5,5,,OK,RDKit 与 PubChem 完全一致
74,T10623,145713829,408.6,408.6,0.00,4.93,5.5,-0.57,57.53,57.5,0.03,2,2,3,4,5,5,HBA:3vs4,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
75,T19526,9604654,423.8,423.8,0.00,3.41,1.1,2.31,114.38,114,0.38,1,1,8,8,6,6,LogP差2.3,LogP算法差,"RDKit MolLogP 与 PubChem XLogP3 为不同算法, 差异属正常"
76,T10953,24790866,391.47,391.5,-0.03,4.29,3.6,0.69,68.46,68.5,-0.04,0,0,5,5,5,5,,OK,RDKit 与 PubChem 完全一致
77,T32798,87093593,473.65,473.6,0.05,5.03,5.7,-0.67,83.91,83.9,0.01,1,1,5,5,5,6,RotB:5vs6,计数惯例,"HBD/HBA/RotB 计数口径不同(RDKit vs PubChem), 不影响筛选"
78,T1172,456389,407.64,407.6,0.04,3.54,4.1,-0.56,91.54,85.6,5.94,1,1,4,4,3,3,TPSA差5.9,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
79,T12220,2930555,440.58,440.6,-0.02,3.97,5.6,-1.63,76.66,76.7,-0.04,2,2,4,4,9,11,LogP差1.6;RotB:9vs11,LogP算法差,"RDKit MolLogP 与 PubChem XLogP3 为不同算法, 差异属正常"
80,TN2215,13590409,521.7,521.7,0.00,2.94,,,112.93,135,-22.07,3,3,6,6,8,6,TPSA差22.1;RotB:8vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
81,TN2349,2733767,521.7,521.7,0.00,2.94,,,112.93,135,-22.07,3,3,6,6,8,6,TPSA差22.1;RotB:8vs6,TPSA方法学,"TPSA 差异多因盐/电荷/互变异构的取质子态不同, 非错误"
