rank,name,smiles,MW,LogP,TPSA,HBD,HBA,RotB,Lipinski_violations,max_tc,best_match,best_target,physchem_compliance,toxic_score,final_score
40,TMIH-0182,[2H]C1([2H])C[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H](O)[C@]2(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]32)C([2H])([2H])[C@@H]1O,396.6,4.48,77.76,3,3,4,0,0.4684,Aramchol,SCD1,1.0,0.8,0.8076
41,T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,364.38,4.24,86.99,3,3,6,0,0.4658,VK2809,THR-beta,1.0,0.8,0.8061
42,T35792,[H][C@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,376.58,5.51,57.53,2,2,4,1,0.4328,Obeticholic acid (OCA),FXR,1.0,0.8,0.7873
43,T36522,[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@@]4(C)[C@@]3([H])CC[C@]4([H])[C@H](C)CCC(=O)O)[C@@]1(C)CC[C@H](O)C2,376.58,5.51,57.53,2,2,4,1,0.4328,Obeticholic acid (OCA),FXR,1.0,0.8,0.7873
44,T13092,[H][C@@]12CC[C@H]([C@H](C)CCC(=O)NCCS(=O)(=O)O)[C@@]1(C)CC[C@]1([H])[C@@]3(C)CC[C@@H](O)C[C@@]3([H])[C@@H](CC)[C@@H](O)[C@@]21[H],527.77,4.03,123.93,4,5,8,1,0.4231,Obeticholic acid (OCA),FXR,1.0,0.8,0.7818
45,T7628,CC(CCC(=O)O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,374.57,5.43,57.53,2,2,4,1,0.5152,Obeticholic acid (OCA),FXR,1.0,0.6,0.7744
46,T17181,COCc1nc(C(F)(F)F)[nH]c1-c1cc(C(=O)N2CC(c3ccc(C#N)cc3)C2)c(C)cc1C,468.48,4.97,82.01,1,4,5,0,0.4353,Denifanstat (TVB-2640),FASN,1.0,0.6,0.7287
47,T11557,Cc1cc(C)c(-c2[nH]nc(C)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,384.48,4.42,72.78,1,3,3,0,0.5205,Denifanstat (TVB-2640),FASN,1.0,0.4,0.7175
48,T17180,Cc1cc(C)c(-c2n[nH]c(C)c2C)cc1C(=O)N1CC(c2ccc(C#N)cc2)C1,384.48,4.42,72.78,1,3,3,0,0.5205,Denifanstat (TVB-2640),FASN,1.0,0.4,0.7175
49,T19526,Nc1ncnc2c1ncn2CCOC[P@@]1(=O)OCC[C@@H](c2cccc(Cl)c2)O1,423.8,3.41,114.38,1,8,6,0,0.4111,VK2809,THR-beta,1.0,0.4,0.6549
