ID,smiles,ref_drug,ref_target,similarity,Best_Gene,DrugCLIP_Score,Activity_Level,Toxicity_Level,Known_Target_Genes,Active_Targets
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,Cilofexor (GS-9674),FXR,0.1442,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T7947,O=C(c1ccc(-c2nc3ccc(F)cc3o2)cc1)N1CCN(C(=O)C2(O)CC2)CC1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1429,PPARG,0.4219,活性,低毒性,FASN,2194
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,VK2809,THR-beta,0.1415,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T5178,CC(C)(C)N1C(=O)C(Nc2ccc(N3CCCCC3)cc2)=C(c2ccccc2)S1(=O)=O,Firsocostat (GS-0976),ACC,0.1415,PPARG,0.2059,高活性,毒性,NR1H3,10062;7376
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Cilofexor (GS-9674),FXR,0.1415,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1413,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1383,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,Firsocostat (GS-0976),ACC,0.1373,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Resmetirom,THR-beta,0.1368,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1368,PPARG,0.3604,活性,低毒性,PPARD,5467
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Cilofexor (GS-9674),FXR,0.1364,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1364,PPARG,0.3794,活性,低毒性,ACACA,47;31
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,BI-1467335,AOC3/VAP-1,0.1351,PPARG,0.3794,活性,低毒性,ACACA,47;31
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,Cilofexor (GS-9674),FXR,0.1346,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,Denifanstat (TVB-2640),FASN,0.1345,PPARG,0.4209,活性,毒性,ACACA,31;32
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,VK2809,THR-beta,0.134,PPARG,0.3794,活性,低毒性,ACACA,47;31
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,Cilofexor (GS-9674),FXR,0.1339,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T28511,Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,Denifanstat (TVB-2640),FASN,0.1327,PPARG,0.3501,高活性,低毒性,PPARA;PPARG,5465;19016;5468;19013;2879
T11954,Cc1cc(OCP(=O)(O)O)cc(C)c1Cc1ccc(O)c(C(C)C)c1,Resmetirom,THR-beta,0.1325,PPARG,0.3186,活性,低毒性,THRB,7068;7067
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1319,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T67936,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Br)ccc3o2)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1313,PPARG,0.5166,活性,低毒性,PPARA;PPARD;PPARG,5465;1558;5467;5468;19016
T16022,CC(=O)NCCOC(=O)[C@H](Oc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.1304,GPAM,0.4006,活性,低毒性,PPARG,5468
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,Cilofexor (GS-9674),FXR,0.13,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,Cilofexor (GS-9674),FXR,0.13,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T62622,O=C(O)c1ccc(-c2nn(C(=O)c3c(Cl)cccc3C(F)(F)F)c3ccccc23)cc1,BI-1467335,AOC3/VAP-1,0.1299,RXRB,0.4255,高活性,低毒性,PPARG,6097;5468
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,Cilofexor (GS-9674),FXR,0.1296,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T2337,COc1ccc(-c2ccccc2)cc1NS(=O)(=O)c1cc(Cl)cc(Cl)c1O,Cilofexor (GS-9674),FXR,0.1287,PPARG,0.3794,活性,低毒性,ACACA,47;31
T1889,O=C(c1c2ccccc2cc2ccccc12)N1CCC(N2CCC[C@@H](C(=O)N3CCOCC3)C2)CC1,VK2809,THR-beta,0.1287,PPARG,0.71,高活性,毒性,ACACA,31;6850;60581;1551;32
T10855,CC(C)c1cc(Oc2c(I)cc(CC3NC(=O)NC3=O)cc2I)ccc1O,BI-1467335,AOC3/VAP-1,0.1282,ACACA,0.1737,高活性,低毒性,THRB,7068;7067
T27489,COc1ccc2c(ccn2S(=O)(=O)c2cccc(C(=O)Nc3ccc(C)cc3C(=O)O)c2)c1C,BI-1467335,AOC3/VAP-1,0.1279,PPARG,0.3635,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T7184,COc1ccccc1[C@H](Cn1c(=O)n(C(C)(C)C(=O)O)c(=O)c2c(C)c(-c3ncco3)sc21)OC1CCOCC1,BI-1467335,AOC3/VAP-1,0.1275,PPARG,0.4209,活性,毒性,ACACA,31;32
T27841,COc1ccc(Oc2cc(N(C)CCOc3ccc(CC4SC(=O)NC4=O)cc3)ncn2)cc1,Denifanstat (TVB-2640),FASN,0.1275,THRB,0.302,高活性,低毒性,PPARA;PPARG,5468;5465
T15821,Cc1ccc(Cn2nc(CCCc3ccc(OC(C)(C)C(=O)O)cc3)[nH]c2=O)cc1,VK2809,THR-beta,0.1275,THRSP,0.4277,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T7886,Cn1nc(C(=O)N(Cc2ccccc2)Cc2ccc(C(=O)O)cc2)c2c1-c1cc(Cl)ccc1OC2,Firsocostat (GS-0976),ACC,0.1261,RXRB,0.354,活性,低毒性,NR1H4,9971
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.125,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,Lanifibranor (IVA-337),PPAR-alpha/gamma/delta,0.125,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T27478,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1,Cilofexor (GS-9674),FXR,0.1237,PPARG,0.3279,高活性,毒性,NR1H3,10062;7376
T14176,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Cilofexor (GS-9674),FXR,0.1228,PPARG,0.4417,活性,低毒性,PPARA;PPARD;PPARG,25747;5465;1559;5467;5468;19013;1551
T63898,CO[C@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,Cilofexor (GS-9674),FXR,0.1228,PPARG,0.3962,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T9767,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCCS(=O)(=O)c1ccc(C(F)(F)F)cn1,Firsocostat (GS-0976),ACC,0.1217,PPARG,0.3604,活性,低毒性,PPARD,5467
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,Firsocostat (GS-0976),ACC,0.1215,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T15575,COc1ccc(S(=O)(=O)n2cc(CCC(=O)O)c3cc(OC)ccc32)cc1,Firsocostat (GS-0976),ACC,0.1215,PPARG,0.4641,高活性,低毒性,PPARA;PPARD;PPARG,5468;5467;5465
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,Obeticholic acid (OCA),FXR,0.1209,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T3384,COc1cc(O)c2c(c1)oc(=O)c1c3cc(O)c(O)cc3oc21,VK2809,THR-beta,0.1209,PPARG,0.3369,活性,毒性,THRB,289606;79211;873;839;29705;29709;25451;29707;140674;23408;24947;1195;24922;7068;641;5893;2539;29708;65191;2669;5292;240;140675;8726;25450;861;51426;19885;81658;29689;865
T4S1637,CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,VK2809,THR-beta,0.1209,PPARG,0.2473,高活性,毒性,FASN,5743;8972;4521;7276;5742;5770;2194;5223;22933;6476;2548;1588;93432
T5360,CC(C)c1cc(Oc2c(Br)cc(NC(=O)CC(=O)O)cc2Br)ccc1O,Obeticholic acid (OCA),FXR,0.1205,ACACA,0.2029,活性,低毒性,THRB,7068;7067
T25193,O=C(Nc1ccc(Oc2ncccn2)cc1C(=O)O)c1ccc(Cl)cc1Cl,Firsocostat (GS-0976),ACC,0.1204,RXRA,0.2966,活性,低毒性,PPARG,5468
T14570,CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1,Denifanstat (TVB-2640),FASN,0.12,PPARG,0.3376,活性,低毒性,FASN,2194;14104
T67933,CCc1ccc(-c2nc3cc(NC(=O)c4cc([N+](=O)[O-])ccc4Cl)ccc3o2)cc1,VK2809,THR-beta,0.1193,PPARG,0.4849,活性,低毒性,PPARG,1558;5468;19016
T21764,O=C1NC(=O)C(Cc2ccc3cc(OCc4ccccc4F)ccc3c2)S1,Firsocostat (GS-0976),ACC,0.1193,PPARG,0.2467,活性,低毒性,PPARG,5468
